test_id,wall_clock,alpha_bravo_dist,bravo_charlie_dist,alpha_charlie_dist,formation_type
TEST-01-PATROL,1775088086.056,139.7,393.0,424.7,echelon
TEST-01-PATROL,1775088086.311,140.8,394.6,423.8,echelon
TEST-01-PATROL,1775088086.564,141.8,395.7,422.9,echelon
TEST-01-PATROL,1775088086.816,142.6,396.4,422.0,echelon
TEST-01-PATROL,1775088087.069,143.1,396.6,421.1,echelon
TEST-01-PATROL,1775088087.321,143.4,396.4,420.2,echelon
TEST-01-PATROL,1775088087.573,143.5,395.9,419.3,echelon
TEST-01-PATROL,1775088087.827,143.3,395.0,418.6,echelon
TEST-01-PATROL,1775088088.081,143.0,393.8,417.9,echelon
TEST-01-PATROL,1775088088.335,142.4,392.5,417.3,echelon
TEST-01-PATROL,1775088088.587,141.7,390.9,416.8,echelon
TEST-01-PATROL,1775088088.840,140.9,389.2,416.4,echelon
TEST-01-PATROL,1775088089.092,139.8,387.4,416.1,echelon
TEST-01-PATROL,1775088089.346,138.6,385.6,415.8,echelon
TEST-01-PATROL,1775088089.599,137.3,383.7,415.5,echelon
TEST-01-PATROL,1775088089.851,135.8,381.9,415.3,echelon
TEST-01-PATROL,1775088090.104,134.3,380.2,415.1,echelon
TEST-01-PATROL,1775088090.358,132.7,378.4,415.0,echelon
TEST-01-PATROL,1775088090.611,131.1,376.7,414.8,echelon
TEST-01-PATROL,1775088090.866,129.5,375.1,414.7,echelon
TEST-01-PATROL,1775088091.120,127.9,373.5,414.5,echelon
TEST-01-PATROL,1775088091.371,126.4,372.0,414.4,echelon
TEST-01-PATROL,1775088091.624,124.9,370.5,414.2,echelon
TEST-01-PATROL,1775088091.879,123.5,369.1,414.0,echelon
TEST-01-PATROL,1775088092.131,122.1,367.7,413.9,echelon
TEST-01-PATROL,1775088092.382,120.8,366.4,413.7,echelon
TEST-01-PATROL,1775088092.637,119.6,365.2,413.5,echelon
TEST-01-PATROL,1775088092.888,118.5,364.0,413.3,echelon
TEST-01-PATROL,1775088093.141,117.5,362.8,413.0,echelon
TEST-01-PATROL,1775088093.394,116.6,361.7,412.7,echelon
TEST-01-PATROL,1775088093.647,115.8,360.7,412.5,echelon
TEST-01-PATROL,1775088093.899,115.1,359.7,412.2,echelon
TEST-01-PATROL,1775088094.152,114.4,358.7,411.8,echelon
TEST-01-PATROL,1775088094.406,113.8,357.7,411.5,echelon
TEST-01-PATROL,1775088094.658,113.3,356.8,411.2,echelon
TEST-01-PATROL,1775088094.910,112.9,355.9,410.8,echelon
TEST-01-PATROL,1775088095.163,112.6,355.0,410.5,echelon
TEST-01-PATROL,1775088095.417,112.2,354.2,410.1,echelon
TEST-01-PATROL,1775088095.670,112.0,353.4,409.8,echelon
TEST-01-PATROL,1775088095.925,111.8,352.6,409.4,echelon
TEST-01-PATROL,1775088096.179,111.6,351.8,409.1,echelon
TEST-01-PATROL,1775088096.431,111.4,351.0,408.7,echelon
TEST-01-PATROL,1775088096.683,111.2,350.3,408.4,echelon
TEST-01-PATROL,1775088096.937,111.0,349.6,408.0,echelon
TEST-01-PATROL,1775088097.191,110.9,348.9,407.6,echelon
TEST-01-PATROL,1775088097.442,110.7,348.2,407.3,echelon
TEST-01-PATROL,1775088097.697,110.6,347.5,406.9,echelon
TEST-01-PATROL,1775088097.947,110.4,346.8,406.6,echelon
TEST-01-PATROL,1775088098.202,110.2,346.1,406.2,echelon
TEST-01-PATROL,1775088098.454,110.1,345.5,405.9,echelon
TEST-01-PATROL,1775088098.709,109.9,344.8,405.5,echelon
TEST-01-PATROL,1775088098.962,109.7,344.1,405.1,echelon
TEST-01-PATROL,1775088099.214,109.5,343.4,404.8,echelon
TEST-01-PATROL,1775088099.467,109.4,342.7,404.4,echelon
TEST-01-PATROL,1775088099.719,109.2,342.0,404.1,echelon
TEST-01-PATROL,1775088099.974,109.0,341.3,403.7,echelon
TEST-01-PATROL,1775088100.227,108.8,340.6,403.4,echelon
TEST-01-PATROL,1775088100.479,108.6,339.8,403.0,echelon
TEST-01-PATROL,1775088100.733,108.4,339.1,402.7,echelon
TEST-01-PATROL,1775088100.989,108.1,338.4,402.3,echelon
TEST-01-PATROL,1775088101.243,107.9,337.6,402.0,echelon
TEST-01-PATROL,1775088101.494,107.7,336.9,401.6,echelon
TEST-01-PATROL,1775088101.748,107.5,336.1,401.3,echelon
TEST-01-PATROL,1775088102.000,107.3,335.4,401.0,echelon
TEST-01-PATROL,1775088102.252,107.1,334.6,400.6,echelon
TEST-01-PATROL,1775088102.504,106.9,333.9,400.3,echelon
TEST-01-PATROL,1775088102.757,106.7,333.1,400.0,echelon
TEST-01-PATROL,1775088103.010,106.5,332.4,399.7,echelon
TEST-01-PATROL,1775088103.263,106.2,331.6,399.3,echelon
TEST-01-PATROL,1775088103.514,106.0,330.9,399.0,echelon
TEST-01-PATROL,1775088103.770,105.8,330.1,398.7,echelon
TEST-01-PATROL,1775088104.022,105.7,329.4,398.4,echelon
TEST-01-PATROL,1775088104.275,105.5,328.7,398.1,echelon
TEST-01-PATROL,1775088104.529,105.3,327.9,397.7,echelon
TEST-01-PATROL,1775088104.782,105.1,327.2,397.4,echelon
TEST-01-PATROL,1775088105.036,104.9,326.5,397.1,echelon
TEST-01-PATROL,1775088105.288,104.7,325.8,396.8,echelon
TEST-01-PATROL,1775088105.541,104.5,325.1,396.5,echelon
TEST-01-PATROL,1775088105.793,104.4,324.4,396.2,echelon
TEST-01-PATROL,1775088106.049,104.2,323.7,395.9,echelon
TEST-01-PATROL,1775088106.302,104.0,323.0,395.6,echelon
TEST-01-PATROL,1775088106.554,103.9,322.3,395.2,echelon
TEST-01-PATROL,1775088106.807,103.7,321.6,394.9,echelon
TEST-01-PATROL,1775088107.061,103.6,320.9,394.6,echelon
TEST-01-PATROL,1775088107.312,103.4,320.3,394.3,echelon
TEST-01-PATROL,1775088107.564,103.3,319.6,394.0,echelon
TEST-01-PATROL,1775088107.816,103.1,319.0,393.7,echelon
TEST-01-PATROL,1775088108.071,103.0,318.3,393.4,echelon
TEST-01-PATROL,1775088108.324,102.8,317.7,393.1,echelon
TEST-01-PATROL,1775088108.576,102.7,317.0,392.8,echelon
TEST-01-PATROL,1775088108.826,102.6,316.4,392.5,echelon
TEST-01-PATROL,1775088109.080,102.4,315.8,392.2,echelon
TEST-01-PATROL,1775088109.333,102.3,315.1,391.9,echelon
TEST-01-PATROL,1775088109.585,102.2,314.5,391.6,echelon
TEST-01-PATROL,1775088109.840,102.1,313.9,391.3,echelon
TEST-01-PATROL,1775088110.092,101.9,313.3,391.0,echelon
TEST-01-PATROL,1775088110.342,101.8,312.7,390.7,echelon
TEST-01-PATROL,1775088110.596,101.7,312.1,390.4,echelon
TEST-01-PATROL,1775088110.848,101.6,311.5,390.1,echelon
TEST-01-PATROL,1775088111.104,101.5,310.9,389.8,echelon
TEST-01-PATROL,1775088111.357,101.4,310.3,389.6,echelon
TEST-01-PATROL,1775088111.608,101.3,309.7,389.3,echelon
TEST-01-PATROL,1775088111.862,101.1,309.1,389.0,echelon
TEST-01-PATROL,1775088112.115,101.0,308.5,388.7,echelon
